xbrl_name,formatted_name
TotalBankLoanGross_BankJagoTbkMember_IDRMember,"Bank Jago Tbk - IDR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_AUDMember,"Bank Jago Tbk - AUD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_AUDMember,"Bank Jago Tbk - AUD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_CADMember,"Bank Jago Tbk - CAD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_CADMember,"Bank Jago Tbk - CAD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_CNYMember,"Bank Jago Tbk - CNY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_CNYMember,"Bank Jago Tbk - CNY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_EURMember,"Bank Jago Tbk - EUR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_EURMember,"Bank Jago Tbk - EUR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_HKDMember,"Bank Jago Tbk - HKD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_HKDMember,"Bank Jago Tbk - HKD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_GBPMember,"Bank Jago Tbk - GBP - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_GBPMember,"Bank Jago Tbk - GBP - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_JPYMember,"Bank Jago Tbk - JPY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_JPYMember,"Bank Jago Tbk - JPY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_SGDMember,"Bank Jago Tbk - SGD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankJagoTbkMember_SGDMember,"Bank Jago Tbk - SGD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankJagoTbkMember_THBMember,"Bank Jago Tbk - THB - Utang bank, nilai dalam mata uang asing"
